cik,name
11199,"Amcor Flexibles North America, Inc."
10456,Baxter International Inc
11825,Best Universal Lock Co
11856,Bethlehem Corp
10795,Becton Dickinson & Co
11544,Berkley W R Corp
11860,Bethlehem Steel Corp /De/
11884,Betzdearborn Inc
11913,Beverly Bancorporation Inc
12040,Flanigans Enterprises Inc
12105,Big V Supermarkets Inc
12203,Rexx Environmental Corp
12180,Sames Corp
9631,Bank Of Nova Scotia
12245,Bird Corp
12388,Broadband Wireless International Corp
12400,Black Hills Power Inc
12473,Blackstone Valley Electric Co
12570,Lexington Precision Corp
12614,Blessings Corp
12635,Axia Inc
12208,"Bio-Rad Laboratories, Inc."
12355,Black & Decker Corp
12239,Dominari Holdings Inc.
12654,Block Drug Co Inc
12707,Blount Inc
12779,Blue Ridge Real Estate Co
13021,Bbn Corp
13033,Comjoyful International Co
13055,Left Behind Games Inc.
13156,"Galaxy Gaming, Inc."
13191,Boonton Electronics Corp
12659,H&R Block Inc
13239,Hexion Inc.
13372,Nstar Electric Co
12978,Mapleby Holdings Merger Corp
13547,Entrx Corp
13390,Boston Gas Co
13585,Bowles Fluidics Corp
13573,Bowl America Inc
13606,White Electronic Designs Corp
13777,Bradley Real Estate Inc
14060,Brenton Banks Inc
12927,Boeing Co
14177,Bridgford Foods Corp
14073,Bresler & Reiner Inc
14280,"Msgi Technology Solutions, Inc"
13610,Bowne & Co Inc
14423,Brodie Exploration Corp
14407,Eastern Edison Co
14611,Alfa Leisure Inc
14525,Brooklyn Union Gas Co
14637,"Bns Holding, Inc."
14195,Briggs & Stratton Corp
14803,Brown Tom Inc /De
14827,Browning Ferris Industries Inc
14920,Brunos Inc
14957,Brush Wellman Inc
14971,Bryan Steam Corp
14693,Brown Forman Corp
14707,Caleres Inc
14272,Bristol Myers Squibb Co
14995,Dixon Ticonderoga Co
15288,"Bullion Monarch Mining, Inc. (Old)"
14846,Brt Apartments Corp.
14930,Brunswick Corp
15310,Bulova Corp
15393,Bureau Of National Affairs Inc
15357,Chase General Corp
15511,Bnsf Railway Co
15486,Burke Mills Inc
15678,Emex Corp
15840,Butler Manufacturing Co
15354,Magnetic Technologies Corp
15847,Butler National Corp
16104,Cagles Inc
15615,Mastec Inc
16317,California Engels Mining Co
16343,Patriot American Hospitality Inc/De
16357,Ab Liquidating Corp
16387,Capital Trust
16058,Caci International Inc /De/
16040,Cabot Corp
16160,Cal-Maine Foods Inc
16099,Lub Liquidating Trust
16422,California Water Service Co
16496,Calprop Corp
16573,Cambridge Electric Light Co
16590,Cambex Corp
16804,Canada Southern Petroleum Ltd
16873,Nexen Inc
16906,Canal Electric Co
17206,Providian Corp
17221,Capital Investment Of Hawaii Inc
17294,Capital Resources Real Estate Partnership Ii
16732,Campbell'S Co
16614,Camco Financial Corp
17385,Capitol Transamerica Corp
17485,"Liberator Medical Holdings, Inc."
16875,Canadian Pacific Kansas City Ltd/Cn
17544,Aerotelesis Inc
17732,Carnegie Financial Corp /Pa/
16918,"Constellation Brands, Inc."
17797,"Duke Energy Progress, Llc."
17927,Carrols Corp
17313,Capital Southwest Corp
18000,Carter Wallace Inc /De/
18061,Cascade Corp
18072,Cascade Natural Gas Corp
18169,Dole Food Co Inc
17843,Carpenter Technology Corp
18497,Cencor Inc
18508,Foremost Corp Of America
18530,"Scrypt, Inc."
18172,A. M. Castle & Co.
18255,Cato Corp
